Married,Dependents,Education,Self_Employed,ApplicantIncome,Credit_History,Cibil_Score,Loan_Status
No,0,Graduate,No,5849,1,800,Y
Yes,1,Graduate,No,4583,1,450,N
Yes,0,Graduate,Yes,3000,1,754,Y
Yes,0,Not Graduate,No,2583,1,350,Y
No,0,Graduate,No,6000,1,810,Y
Yes,2,Graduate,Yes,5417,1,790,Y
Yes,0,Not Graduate,No,2333,1,341,Y
Yes,3+,Graduate,No,3036,0,565,N
Yes,2,Graduate,No,4006,1,745,Y
Yes,1,Graduate,No,12841,1,310,N
Yes,2,Graduate,No,3200,1,789,Y
Yes,2,Graduate,,2500,1,763,Y
Yes,2,Graduate,No,3073,1,856,Y
No,0,Graduate,No,1853,1,689,N
Yes,2,Graduate,No,1299,1,784,Y
No,0,Graduate,No,4950,1,812,Y
No,1,Not Graduate,No,3596,,840,Y
No,0,Graduate,No,3510,0,450,N
Yes,0,Not Graduate,No,4887,1,444,N
Yes,0,Graduate,,2600,1,800,Y
Yes,0,Not Graduate,No,7660,0,500,N
Yes,1,Graduate,No,5955,1,899,Y
Yes,0,Not Graduate,No,2600,0,321,N
Yes,2,Not Graduate,No,3365,0,325,N
Yes,1,Graduate,,3717,,480,N
Yes,0,Graduate,Yes,9560,1,712,Y
Yes,0,Graduate,No,2799,1,780,Y
Yes,2,Not Graduate,No,4226,1,685,Y
No,0,Not Graduate,No,1442,1,400,N
No,2,Graduate,,3750,1,723,Y
Yes,1,Graduate,,4166,,321,N
No,0,Graduate,No,3167,1,312,N
No,1,Graduate,Yes,4692,1,368,N
Yes,0,Graduate,No,3500,1,750,Y
No,3+,Graduate,No,12500,1,300,N
Yes,0,Graduate,No,2275,1,789,Y
Yes,0,Graduate,No,1828,0,363,N
Yes,0,Graduate,No,3667,1,784,Y
No,0,Graduate,No,4166,1,798,Y
No,0,Not Graduate,No,3748,1,750,Y
No,0,Graduate,No,3600,1,300,N
No,0,Graduate,No,1800,1,800,Y
Yes,0,Graduate,No,2400,,801,Y
Yes,0,Graduate,No,3941,1,802,Y
Yes,0,Not Graduate,Yes,4695,1,803,Y
No,0,Graduate,No,3410,1,804,Y
Yes,1,Graduate,No,5649,1,805,Y
Yes,0,Graduate,No,5821,1,806,Y
Yes,0,Graduate,No,2645,0,301,N
No,0,Graduate,No,4000,1,759,Y
Yes,0,Not Graduate,No,1928,1,760,Y
No,0,Graduate,No,3086,1,764,Y
No,0,Graduate,No,4230,1,325,N
Yes,2,Graduate,No,4616,1,326,N
Yes,1,Graduate,Yes,11500,0,327,N
Yes,2,Graduate,No,2708,1,799,Y
Yes,0,Graduate,No,2132,1,800,Y
Yes,0,Graduate,No,3366,1,700,N
Yes,1,Graduate,No,8080,1,749,Y
Yes,2,Not Graduate,No,3357,1,750,Y
Yes,0,Graduate,No,2500,1,751,Y
Yes,3+,Graduate,No,3029,1,752,Y
Yes,0,Not Graduate,Yes,2609,0,469,N
Yes,1,Graduate,No,4945,0,470,N
No,0,Graduate,No,4166,0,480,N
Yes,0,Graduate,No,5726,1,485,N
No,0,Not Graduate,No,3200,0,516,N
Yes,1,Graduate,No,10750,1,844,Y
Yes,3+,Not Graduate,Yes,7100,1,845,Y
No,0,Graduate,No,4300,0,710,N
Yes,0,Graduate,No,3208,1,810,Y
Yes,2,Not Graduate,Yes,1875,1,811,Y
No,0,Graduate,No,3500,1,812,Y
Yes,3+,Not Graduate,No,4755,0,500,N
Yes,3+,Graduate,Yes,5266,1,814,Y
No,0,Graduate,No,3750,1,512,N
No,0,Graduate,No,3750,1,477,N
Yes,1,Graduate,Yes,1000,1,478,N
Yes,3+,Graduate,No,3167,0,480,N
Yes,3+,Not Graduate,Yes,3333,,800,Y
No,0,Graduate,No,3846,1,754,Y
Yes,1,Graduate,Yes,2395,1,755,Y
Yes,2,Graduate,No,1378,1,402,N
Yes,0,Graduate,No,6000,,403,N
Yes,1,Graduate,No,3988,1,900,Y
No,0,Graduate,No,2366,1,899,Y
Yes,2,Not Graduate,No,3333,,898,Y
Yes,0,Graduate,No,2500,1,877,Y
No,0,Graduate,No,8566,1,876,Y
Yes,0,Graduate,No,5695,1,875,Y
Yes,0,Graduate,No,2958,1,874,Y
Yes,2,Graduate,No,6250,1,873,Y
Yes,2,Not Graduate,No,3273,1,872,Y
No,0,Graduate,No,4133,1,871,Y
No,0,Not Graduate,No,3620,1,870,Y
No,0,Graduate,,6782,,600,N
Yes,0,Graduate,No,2484,1,781,Y
Yes,0,Graduate,No,1977,1,780,Y
Yes,0,Not Graduate,No,4188,1,779,Y
Yes,0,Graduate,No,1759,1,778,Y
Yes,2,Not Graduate,No,4288,1,777,Y
No,0,Graduate,No,4843,1,776,Y
Yes,,Graduate,No,13650,1,775,Y
Yes,0,Graduate,No,4652,1,774,Y
,,Graduate,No,3816,1,773,Y
Yes,1,Graduate,No,3052,1,772,Y
Yes,2,Graduate,No,11417,1,771,Y
No,0,Not Graduate,,7333,1,420,N
Yes,2,Graduate,No,3800,0,421,N
Yes,3+,Not Graduate,No,2071,1,862,Y
No,0,Graduate,No,5316,1,863,Y
Yes,0,Graduate,,2929,1,864,Y
Yes,0,Not Graduate,No,3572,0,550,N
No,1,Graduate,Yes,7451,1,866,Y
No,0,Graduate,,5050,1,867,Y
Yes,1,Graduate,No,14583,1,868,Y
Yes,0,Graduate,No,3167,1,869,Y
Yes,1,Graduate,No,2214,,870,Y
Yes,0,Graduate,No,5568,1,344,N
No,0,Graduate,No,10408,1,788,Y
Yes,,Graduate,No,5667,1,748,Y
No,0,Graduate,No,4166,1,789,Y
No,0,Graduate,No,2137,0,745,Y
Yes,2,Graduate,No,2957,1,726,Y
Yes,0,Not Graduate,No,4300,1,758,Y
No,0,Graduate,No,3692,,794,Y
Yes,3+,Graduate,No,23803,1,765,Y
No,0,Graduate,No,3865,1,788,Y
Yes,1,Graduate,Yes,10513,0,400,N
Yes,0,Graduate,No,6080,,456,N
No,0,Graduate,Yes,20166,,800,Y
No,0,Graduate,No,2014,1,856,Y
No,0,Graduate,No,2718,1,847,Y
Yes,0,Graduate,Yes,3459,1,816,Y
No,0,Graduate,No,4895,1,879,Y
Yes,3+,Graduate,No,4000,1,564,N
Yes,0,Graduate,No,4583,1,541,N
Yes,2,Graduate,Yes,3316,1,872,Y
No,0,Graduate,No,14999,0,894,N
Yes,2,Not Graduate,No,4200,1,827,N
Yes,2,Graduate,No,5042,1,532,N
No,0,Graduate,No,5417,1,815,Y
No,0,Graduate,Yes,6950,1,863,Y
Yes,0,Graduate,No,2698,1,862,Y
Yes,2,Graduate,No,11757,1,866,Y
Yes,0,Graduate,No,2330,1,558,Y
Yes,2,Graduate,No,14866,1,766,Y
Yes,1,Graduate,No,1538,1,625,Y
No,0,Graduate,No,10000,1,852,N
Yes,0,Graduate,No,4860,1,669,Y
No,0,Graduate,No,6277,0,542,N
Yes,0,Graduate,Yes,2577,1,600,Y
No,0,Graduate,No,9166,1,786,N
Yes,2,Not Graduate,No,2281,1,522,N
No,0,Graduate,No,3254,1,395,Y
Yes,3+,Graduate,No,39999,0,787,Y
Yes,1,Graduate,No,6000,,773,Y
Yes,1,Graduate,No,9538,1,622,Y
No,0,Graduate,,2980,1,447,Y
Yes,0,Graduate,No,4583,1,495,Y
Yes,0,Not Graduate,No,1863,1,435,Y
Yes,0,Graduate,No,7933,1,796,N
Yes,1,Graduate,No,3089,0,887,N
Yes,2,Graduate,No,4167,1,706,Y
Yes,0,Graduate,No,9323,1,360,Y
Yes,0,Graduate,No,3707,1,872,Y
Yes,0,Graduate,No,4583,1,301,N
Yes,0,Graduate,No,2439,1,744,Y
No,0,Graduate,No,2237,0,521,N
Yes,2,Graduate,No,8000,1,900,Y
Yes,0,Not Graduate,,1820,1,306,Y
Yes,3+,Graduate,No,51763,1,360,Y
Yes,3+,Not Graduate,No,3522,1,396,N
Yes,0,Graduate,No,5708,1,840,Y
Yes,0,Not Graduate,Yes,4344,1,816,N
Yes,0,Graduate,No,3497,1,371,Y
Yes,2,Graduate,No,2045,1,695,Y
Yes,3+,Graduate,No,5516,0,397,N
Yes,1,Graduate,No,3750,1,459,Y
No,0,Not Graduate,No,2333,0,735,N
Yes,1,Graduate,No,6400,0,322,N
No,0,Graduate,No,1916,,572,N
Yes,0,Graduate,No,4600,1,753,Y
Yes,1,Graduate,No,33846,1,619,N
Yes,0,Graduate,No,3625,1,485,Y
Yes,0,Graduate,Yes,39147,1,433,Y
Yes,1,Graduate,Yes,2178,0,736,N
Yes,0,Graduate,No,2383,,459,Y
Yes,0,Graduate,Yes,674,1,768,Y
Yes,0,Graduate,No,9328,1,582,Y
No,0,Not Graduate,No,4885,1,693,Y
No,0,Graduate,No,12000,1,651,N
Yes,0,Not Graduate,No,6033,1,835,N
No,0,Graduate,No,3858,1,859,Y
No,0,Graduate,No,4191,1,570,Y
Yes,1,Graduate,No,3125,1,592,N
No,0,Graduate,No,8333,1,645,Y
No,0,Not Graduate,No,1907,1,337,Y
Yes,0,Graduate,No,3416,,340,Y
